일요일	월요일	화요일	수요일	목요일	금요일	토요일
			평균기온:21.4℃ 최고기온:23.9℃ 최저기온:18.5℃ 평균운량:9.3 일강수량:0.8mm	평균기온:23.5℃ 최고기온:26.7℃ 최저기온:20.7℃ 평균운량:8.3 일강수량: -	평균기온:24.3℃ 최고기온:29.2℃ 최저기온:20.6℃ 평균운량:1.9 일강수량: -	평균기온:23.2℃ 최고기온:28.6℃ 최저기온:18.5℃ 평균운량:4.4 일강수량: -
5일	6일	7일	8일	9일	10일	11일
평균기온:23.1℃ 최고기온:27.3℃ 최저기온:19.4℃ 평균운량:5.8 일강수량: -	평균기온:22.3℃ 최고기온:26.4℃ 최저기온:18.0℃ 평균운량:8.9 일강수량:12.0mm	평균기온:19.6℃ 최고기온:20.9℃ 최저기온:17.6℃ 평균운량:10.0 일강수량:29.6mm	평균기온:22.2℃ 최고기온:26.9℃ 최저기온:19.0℃ 평균운량:4.5 일강수량:1.6mm	평균기온:23.5℃ 최고기온:29.1℃ 최저기온:19.1℃ 평균운량:6.5 일강수량: -	평균기온:23.6℃ 최고기온:28.9℃ 최저기온:19.5℃ 평균운량:3.9 일강수량: -	평균기온:24.0℃ 최고기온:29.4℃ 최저기온:19.9℃ 평균운량:2.0 일강수량: -
12일	13일	14일	15일	16일	17일	18일
평균기온:24.2℃ 최고기온:29.8℃ 최저기온:19.2℃ 평균운량:1.9 일강수량: -	평균기온:24.8℃ 최고기온:30.3℃ 최저기온:20.8℃ 평균운량:6.9 일강수량: -	평균기온:24.6℃ 최고기온:29.5℃ 최저기온:20.0℃ 평균운량:2.4 일강수량: -	평균기온:23.6℃ 최고기온:28.9℃ 최저기온:19.5℃ 평균운량:0.6 일강수량: -	평균기온:22.9℃ 최고기온:27.3℃ 최저기온:18.0℃ 평균운량:5.1 일강수량: -	평균기온:23.5℃ 최고기온:28.2℃ 최저기온:20.5℃ 평균운량:3.8 일강수량: -	평균기온:23.9℃ 최고기온:29.8℃ 최저기온:18.9℃ 평균운량:2.3 일강수량: -
19일	20일	21일	22일	23일	24일	25일
평균기온:23.7℃ 최고기온:27.8℃ 최저기온:20.8℃ 평균운량:6.3 일강수량: -	평균기온:23.7℃ 최고기온:28.4℃ 최저기온:19.0℃ 평균운량:5.9 일강수량: -	평균기온:22.0℃ 최고기온:26.2℃ 최저기온:17.4℃ 평균운량:8.0 일강수량:68.1mm	평균기온:20.2℃ 최고기온:24.3℃ 최저기온:16.8℃ 평균운량:4.1 일강수량:4.5mm	평균기온:20.9℃ 최고기온:25.9℃ 최저기온:16.9℃ 평균운량:3.4 일강수량: -	평균기온:21.8℃ 최고기온:26.9℃ 최저기온:16.7℃ 평균운량:1.5 일강수량: -	평균기온:21.2℃ 최고기온:23.1℃ 최저기온:18.7℃ 평균운량:8.6 일강수량: -
26일	27일	28일	29일	30일		
평균기온:22.6℃ 최고기온:27.3℃ 최저기온:18.4℃ 평균운량:6.8 일강수량: -	평균기온:21.6℃ 최고기온:25.0℃ 최저기온:18.7℃ 평균운량:8.3 일강수량:0.0mm	평균기온:21.5℃ 최고기온:24.4℃ 최저기온:19.6℃ 평균운량:9.8 일강수량:1.3mm	평균기온:20.2℃ 최고기온:21.4℃ 최저기온:17.8℃ 평균운량:7.6 일강수량:13.1mm	평균기온:20.3℃ 최고기온:25.9℃ 최저기온:16.0℃ 평균운량:2.0 일강수량: -		
					1일	2일
					평균기온:21.1℃ 최고기온:27.5℃ 최저기온:16.9℃ 평균운량:2.9 일강수량:13.3mm	평균기온:20.7℃ 최고기온:26.6℃ 최저기온:16.4℃ 평균운량:4.0 일강수량: -
3일	4일	5일	6일	7일	8일	9일
평균기온:22.3℃ 최고기온:28.8℃ 최저기온:17.1℃ 평균운량:2.0 일강수량: -	평균기온:22.9℃ 최고기온:25.6℃ 최저기온:19.2℃ 평균운량:9.5 일강수량:3.6mm	평균기온:23.6℃ 최고기온:26.5℃ 최저기온:21.7℃ 평균운량:8.1 일강수량:0.0mm	평균기온:18.8℃ 최고기온:21.7℃ 최저기온:17.9℃ 평균운량:9.0 일강수량:6.4mm	평균기온:19.4℃ 최고기온:21.9℃ 최저기온:17.9℃ 평균운량:9.4 일강수량:4.6mm	평균기온:18.8℃ 최고기온:20.0℃ 최저기온:17.5℃ 평균운량:9.5 일강수량:3.5mm	평균기온:20.9℃ 최고기온:24.1℃ 최저기온:18.5℃ 평균운량:6.8 일강수량:0.4mm
10일	11일	12일	13일	14일	15일	16일
평균기온:19.9℃ 최고기온:24.3℃ 최저기온:14.9℃ 평균운량:9.8 일강수량:14.2mm	평균기온:15.2℃ 최고기온:17.8℃ 최저기온:12.6℃ 평균운량:8.3 일강수량:0.3mm	평균기온:17.9℃ 최고기온:21.3℃ 최저기온:15.8℃ 평균운량:6.9 일강수량: -	평균기온:19.6℃ 최고기온:25.2℃ 최저기온:14.9℃ 평균운량:2.1 일강수량: -	평균기온:19.7℃ 최고기온:23.9℃ 최저기온:17.4℃ 평균운량:5.8 일강수량: -	평균기온:19.0℃ 최고기온:21.4℃ 최저기온:17.0℃ 평균운량:9.6 일강수량:0.0mm	평균기온:10.7℃ 최고기온:18.1℃ 최저기온:4.2℃ 평균운량:6.1 일강수량:0.0mm
17일	18일	19일	20일	21일	22일	23일
평균기온:5.6℃ 최고기온:10.8℃ 최저기온:1.3℃ 평균운량:0.0 일강수량: -	평균기온:9.6℃ 최고기온:16.1℃ 최저기온:2.8℃ 평균운량:6.6 일강수량:5.6mm	평균기온:10.9℃ 최고기온:15.0℃ 최저기온:7.1℃ 평균운량:4.0 일강수량:4.4mm	평균기온:9.5℃ 최고기온:15.8℃ 최저기온:4.6℃ 평균운량:0.3 일강수량: -	평균기온:9.8℃ 최고기온:16.2℃ 최저기온:4.9℃ 평균운량:3.3 일강수량: -	평균기온:10.8℃ 최고기온:17.2℃ 최저기온:5.2℃ 평균운량:0.8 일강수량: -	평균기온:11.4℃ 최고기온:18.4℃ 최저기온:5.7℃ 평균운량:0.3 일강수량: -
24일	25일	26일	27일	28일	29일	30일
평균기온:11.4℃ 최고기온:18.1℃ 최저기온:6.0℃ 평균운량:0.3 일강수량: -	평균기온:11.7℃ 최고기온:17.6℃ 최저기온:6.3℃ 평균운량:0.8 일강수량: -	평균기온:13.0℃ 최고기온:19.0℃ 최저기온:7.7℃ 평균운량:3.6 일강수량: -	평균기온:13.4℃ 최고기온:18.1℃ 최저기온:9.8℃ 평균운량:2.5 일강수량:0.0mm	평균기온:12.7℃ 최고기온:20.0℃ 최저기온:7.1℃ 평균운량:0.0 일강수량: -	평균기온:14.6℃ 최고기온:20.6℃ 최저기온:10.5℃ 평균운량:4.6 일강수량: -	평균기온:13.8℃ 최고기온:18.0℃ 최저기온:11.0℃ 평균운량:6.1 일강수량: -
31일						
평균기온:14.1℃ 최고기온:20.3℃ 최저기온:9.2℃ 평균운량:3.8 일강수량:0.7mm						
	1일	2일	3일	4일	5일	6일
	평균기온:12.9℃ 최고기온:16.9℃ 최저기온:10.3℃ 평균운량:3.0 일강수량: -	평균기온:11.5℃ 최고기온:16.9℃ 최저기온:7.9℃ 평균운량:4.0 일강수량: -	평균기온:12.1℃ 최고기온:17.1℃ 최저기온:7.6℃ 평균운량:3.0 일강수량: -	평균기온:12.1℃ 최고기온:16.3℃ 최저기온:8.4℃ 평균운량:2.4 일강수량:0.0mm	평균기온:13.0℃ 최고기온:20.2℃ 최저기온:7.8℃ 평균운량:0.6 일강수량: -	평균기온:14.1℃ 최고기온:21.3℃ 최저기온:8.8℃ 평균운량:1.3 일강수량: -
7일	8일	9일	10일	11일	12일	13일
평균기온:15.3℃ 최고기온:21.3℃ 최저기온:9.7℃ 평균운량:7.0 일강수량: -	평균기온:8.6℃ 최고기온:15.5℃ 최저기온:4.5℃ 평균운량:9.9 일강수량:25.7mm	평균기온:4.9℃ 최고기온:6.5℃ 최저기온:3.0℃ 평균운량:8.1 일강수량:2.0mm	평균기온:4.2℃ 최고기온:7.7℃ 최저기온:0.7℃ 평균운량:7.4 일강수량:0.3mm	평균기온:5.3℃ 최고기온:9.7℃ 최저기온:2.1℃ 평균운량:3.0 일강수량:0.0mm	평균기온:4.5℃ 최고기온:8.6℃ 최저기온:1.3℃ 평균운량:1.3 일강수량: -	평균기온:7.3℃ 최고기온:13.4℃ 최저기온:0.5℃ 평균운량:4.5 일강수량: -
14일	15일	16일	17일	18일	19일	20일
평균기온:11.3℃ 최고기온:16.4℃ 최저기온:7.8℃ 평균운량:3.4 일강수량: -	평균기온:10.1℃ 최고기온:15.7℃ 최저기온:5.8℃ 평균운량:3.6 일강수량: -	평균기온:8.5℃ 최고기온:13.6℃ 최저기온:4.4℃ 평균운량:0.0 일강수량: -	평균기온:7.5℃ 최고기온:12.5℃ 최저기온:2.7℃ 평균운량:3.5 일강수량: -	평균기온:11.9℃ 최고기온:16.2℃ 최저기온:7.7℃ 평균운량:7.5 일강수량:0.0mm	평균기온:12.9℃ 최고기온:16.7℃ 최저기온:10.2℃ 평균운량:6.5 일강수량: -	평균기온:10.4℃ 최고기온:15.6℃ 최저기온:6.8℃ 평균운량:3.3 일강수량: -
21일	22일	23일	24일	25일	26일	27일
평균기온:10.4℃ 최고기온:13.1℃ 최저기온:7.6℃ 평균운량:8.9 일강수량:5.9mm	평균기온:2.7℃ 최고기온:7.5℃ 최저기온:-0.6℃ 평균운량:3.3 일강수량:1.3mm	평균기온:-0.6℃ 최고기온:2.3℃ 최저기온:-3.7℃ 평균운량:2.9 일강수량: -	평균기온:4.1℃ 최고기온:9.1℃ 최저기온:-2.6℃ 평균운량:3.9 일강수량:0.0mm	평균기온:5.7℃ 최고기온:9.9℃ 최저기온:2.6℃ 평균운량:1.9 일강수량: -	평균기온:2.9℃ 최고기온:7.2℃ 최저기온:-0.5℃ 평균운량:1.4 일강수량:0.0mm	평균기온:3.4℃ 최고기온:10.1℃ 최저기온:-1.4℃ 평균운량:0.0 일강수량: -
28일	29일	30일				
평균기온:5.1℃ 최고기온:12.4℃ 최저기온:-1.3℃ 평균운량:4.0 일강수량: -	평균기온:7.6℃ 최고기온:13.7℃ 최저기온:2.5℃ 평균운량:7.0 일강수량: -	평균기온:5.7℃ 최고기온:8.9℃ 최저기온:0.7℃ 평균운량:9.0 일강수량:27.2mm				
			1일	2일	3일	4일
			평균기온:-1.3℃ 최고기온:1.5℃ 최저기온:-3.0℃ 평균운량:0.6 일강수량: -	평균기온:1.3℃ 최고기온:5.0℃ 최저기온:-4.6℃ 평균운량:4.5 일강수량:0.1mm	평균기온:1.9℃ 최고기온:4.6℃ 최저기온:-1.8℃ 평균운량:1.4 일강수량:0.4mm	평균기온:1.4℃ 최고기온:7.0℃ 최저기온:-2.7℃ 평균운량:1.0 일강수량: -
5일	6일	7일	8일	9일	10일	11일
평균기온:2.9℃ 최고기온:9.6℃ 최저기온:-2.3℃ 평균운량:0.0 일강수량: -	평균기온:5.4℃ 최고기온:12.1℃ 최저기온:-0.7℃ 평균운량:4.1 일강수량: -	평균기온:6.8℃ 최고기온:13.3℃ 최저기온:2.6℃ 평균운량:0.0 일강수량: -	평균기온:6.7℃ 최고기온:13.3℃ 최저기온:1.9℃ 평균운량:1.6 일강수량: -	평균기온:6.5℃ 최고기온:9.7℃ 최저기온:2.7℃ 평균운량:6.9 일강수량: -	평균기온:7.0℃ 최고기온:8.2℃ 최저기온:5.8℃ 평균운량:8.1 일강수량:0.7mm	평균기온:6.0℃ 최고기온:9.8℃ 최저기온:4.4℃ 평균운량:8.1 일강수량: -
12일	13일	14일	15일	16일	17일	18일
평균기온:1.2℃ 최고기온:5.1℃ 최저기온:-3.8℃ 평균운량:2.5 일강수량: -	평균기온:-2.2℃ 최고기온:1.9℃ 최저기온:-5.9℃ 평균운량:2.1 일강수량: -	평균기온:3.7℃ 최고기온:8.2℃ 최저기온:-0.7℃ 평균운량:9.0 일강수량:1.2mm	평균기온:7.2℃ 최고기온:10.0℃ 최저기온:5.4℃ 평균운량:7.3 일강수량:2.1mm	평균기온:6.4℃ 최고기온:9.8℃ 최저기온:3.3℃ 평균운량:7.1 일강수량:0.0mm	평균기온:-5.6℃ 최고기온:3.2℃ 최저기온:-10.1℃ 평균운량:1.4 일강수량: -	평균기온:-5.7℃ 최고기온:-1.8℃ 최저기온:-11.2℃ 평균운량:4.1 일강수량:2.8mm
19일	20일	21일	22일	23일	24일	25일
평균기온:-0.8℃ 최고기온:4.2℃ 최저기온:-5.8℃ 평균운량:0.6 일강수량:0.2mm	평균기온:5.2℃ 최고기온:11.1℃ 최저기온:-0.9℃ 평균운량:4.6 일강수량:0.0mm	평균기온:5.2℃ 최고기온:8.9℃ 최저기온:0.8℃ 평균운량:1.4 일강수량: -	평균기온:2.2℃ 최고기온:8.2℃ 최저기온:-2.6℃ 평균운량:0.0 일강수량: -	평균기온:2.7℃ 최고기온:8.3℃ 최저기온:-1.5℃ 평균운량:2.8 일강수량: -	평균기온:-0.3℃ 최고기온:3.2℃ 최저기온:-7.3℃ 평균운량:6.1 일강수량:0.2mm	평균기온:-11.7℃ 최고기온:-7.3℃ 최저기온:-14.4℃ 평균운량:0.0 일강수량: -
26일	27일	28일	29일	30일	31일	
평균기온:-12.1℃ 최고기온:-7.3℃ 최저기온:-15.5℃ 평균운량:0.0 일강수량: -	평균기온:-7.6℃ 최고기온:-3.9℃ 최저기온:-12.9℃ 평균운량:3.1 일강수량:0.0mm	평균기온:-4.1℃ 최고기온:-0.9℃ 최저기온:-8.5℃ 평균운량:4.1 일강수량: -	평균기온:0.4℃ 최고기온:5.9℃ 최저기온:-3.8℃ 평균운량:5.1 일강수량:0.2mm	평균기온:-3.9℃ 최고기온:0.2℃ 최저기온:-6.8℃ 평균운량:2.0 일강수량:0.0mm	평균기온:-6.7℃ 최고기온:-3.9℃ 최저기온:-8.8℃ 평균운량:0.0 일강수량: -	
						1일
						평균기온:-4.3℃ 최고기온:2.3℃ 최저기온:-10.2℃ 평균운량:1.4 일강수량: -
2일	3일	4일	5일	6일	7일	8일
평균기온:-1.3℃ 최고기온:3.0℃ 최저기온:-5.2℃ 평균운량:4.1 일강수량:0.3mm	평균기온:-1.9℃ 최고기온:2.5℃ 최저기온:-8.0℃ 평균운량:4.9 일강수량:0.0mm	평균기온:-2.5℃ 최고기온:1.0℃ 최저기온:-5.6℃ 평균운량:0.0 일강수량:0.0mm	평균기온:-2.8℃ 최고기온:1.9℃ 최저기온:-7.8℃ 평균운량:7.3 일강수량: -	평균기온:-2.2℃ 최고기온:3.3℃ 최저기온:-5.9℃ 평균운량:0.0 일강수량: -	평균기온:-1.6℃ 최고기온:4.5℃ 최저기온:-5.9℃ 평균운량:0.0 일강수량: -	평균기온:0.3℃ 최고기온:3.7℃ 최저기온:-5.0℃ 평균운량:5.9 일강수량:0.0mm
9일	10일	11일	12일	13일	14일	15일
평균기온:1.3℃ 최고기온:5.6℃ 최저기온:-1.2℃ 평균운량:3.1 일강수량: -	평균기온:0.5℃ 최고기온:4.4℃ 최저기온:-3.4℃ 평균운량:7.0 일강수량:0.9mm	평균기온:-7.4℃ 최고기온:0.3℃ 최저기온:-10.3℃ 평균운량:0.4 일강수량:0.2mm	평균기온:-7.7℃ 최고기온:-3.4℃ 최저기온:-11.3℃ 평균운량:2.8 일강수량: -	평균기온:-6.4℃ 최고기온:-3.1℃ 최저기온:-8.9℃ 평균운량:2.3 일강수량: -	평균기온:-4.8℃ 최고기온:1.3℃ 최저기온:-10.1℃ 평균운량:2.6 일강수량: -	평균기온:-1.0℃ 최고기온:1.8℃ 최저기온:-5.3℃ 평균운량:8.5 일강수량:0.0mm
16일	17일	18일	19일	20일	21일	22일
평균기온:-2.0℃ 최고기온:2.4℃ 최저기온:-7.2℃ 평균운량:1.6 일강수량:0.0mm	평균기온:-5.8℃ 최고기온:0.1℃ 최저기온:-9.2℃ 평균운량:2.5 일강수량:0.5mm	평균기온:-5.6℃ 최고기온:-0.7℃ 최저기온:-9.9℃ 평균운량:0.3 일강수량: -	평균기온:-5.3℃ 최고기온:-2.7℃ 최저기온:-7.7℃ 평균운량:5.1 일강수량:1.7mm	평균기온:-5.0℃ 최고기온:0.9℃ 최저기온:-9.8℃ 평균운량:0.0 일강수량: -	평균기온:-2.7℃ 최고기온:4.6℃ 최저기온:-8.7℃ 평균운량:0.0 일강수량: -	평균기온:0.3℃ 최고기온:7.1℃ 최저기온:-5.0℃ 평균운량:5.9 일강수량: -
23일	24일	25일	26일	27일	28일	29일
평균기온:2.0℃ 최고기온:6.7℃ 최저기온:-0.6℃ 평균운량:4.8 일강수량: -	평균기온:4.6℃ 최고기온:8.4℃ 최저기온:1.3℃ 평균운량:4.9 일강수량: -	평균기온:2.8℃ 최고기온:4.5℃ 최저기온:1.9℃ 평균운량:9.4 일강수량:0.7mm	평균기온:1.3℃ 최고기온:6.8℃ 최저기온:-1.9℃ 평균운량:2.4 일강수량: -	평균기온:-1.1℃ 최고기온:4.0℃ 최저기온:-4.6℃ 평균운량:2.1 일강수량: -	평균기온:-2.7℃ 최고기온:2.1℃ 최저기온:-5.9℃ 평균운량:2.0 일강수량: -	평균기온:-3.6℃ 최고기온:0.9℃ 최저기온:-7.2℃ 평균운량:0.8 일강수량: -
30일	31일					
평균기온:-2.8℃ 최고기온:2.4℃ 최저기온:-8.0℃ 평균운량:0.6 일강수량: -	평균기온:-0.7℃ 최고기온:4.8℃ 최저기온:-6.8℃ 평균운량:3.3 일강수량:1.2mm					
		1일	2일	3일	4일	5일
		평균기온:-1.3℃ 최고기온:0.9℃ 최저기온:-2.7℃ 평균운량:6.6 일강수량:1.7mm	평균기온:-3.4℃ 최고기온:0.0℃ 최저기온:-6.0℃ 평균운량:3.5 일강수량: -	평균기온:-3.4℃ 최고기온:0.4℃ 최저기온:-6.9℃ 평균운량:1.5 일강수량: -	평균기온:-5.2℃ 최고기온:-0.7℃ 최저기온:-8.2℃ 평균운량:1.9 일강수량:0.0mm	평균기온:-6.6℃ 최고기온:-2.0℃ 최저기온:-9.7℃ 평균운량:0.9 일강수량: -
6일	7일	8일	9일	10일	11일	12일
평균기온:-3.9℃ 최고기온:1.7℃ 최저기온:-8.4℃ 평균운량:1.0 일강수량: -	평균기온:-2.5℃ 최고기온:1.9℃ 최저기온:-7.3℃ 평균운량:6.1 일강수량: -	평균기온:-0.1℃ 최고기온:5.6℃ 최저기온:-4.1℃ 평균운량:1.5 일강수량: -	평균기온:1.0℃ 최고기온:7.2℃ 최저기온:-4.3℃ 평균운량:5.5 일강수량: -	평균기온:1.4℃ 최고기온:6.7℃ 최저기온:-3.2℃ 평균운량:1.6 일강수량: -	평균기온:2.9℃ 최고기온:8.8℃ 최저기온:-2.6℃ 평균운량:2.6 일강수량: -	평균기온:4.8℃ 최고기온:10.4℃ 최저기온:-0.1℃ 평균운량:3.5 일강수량: -
13일	14일	15일	16일	17일	18일	19일
평균기온:4.8℃ 최고기온:9.5℃ 최저기온:1.6℃ 평균운량:5.3 일강수량: -	평균기온:2.5℃ 최고기온:8.1℃ 최저기온:-1.3℃ 평균운량:6.6 일강수량:1.7mm	평균기온:-4.7℃ 최고기온:-1.3℃ 최저기온:-7.7℃ 평균운량:5.6 일강수량:0.0mm	평균기온:-7.3℃ 최고기온:-4.1℃ 최저기온:-9.6℃ 평균운량:0.9 일강수량:0.0mm	평균기온:-6.2℃ 최고기온:-0.5℃ 최저기온:-10.7℃ 평균운량:0.0 일강수량: -	평균기온:-1.2℃ 최고기온:5.7℃ 최저기온:-8.0℃ 평균운량:3.9 일강수량: -	평균기온:-1.7℃ 최고기온:3.7℃ 최저기온:-6.2℃ 평균운량:6.5 일강수량:0.1mm
20일	21일	22일	23일	24일	25일	26일
평균기온:-4.8℃ 최고기온:-0.5℃ 최저기온:-8.4℃ 평균운량:0.1 일강수량: -	평균기온:-3.0℃ 최고기온:3.6℃ 최저기온:-8.1℃ 평균운량:2.5 일강수량:0.1mm	평균기온:-4.5℃ 최고기온:0.5℃ 최저기온:-8.0℃ 평균운량:1.0 일강수량: -	평균기온:-5.6℃ 최고기온:-0.6℃ 최저기온:-10.0℃ 평균운량:0.0 일강수량: -	평균기온:-2.4℃ 최고기온:3.7℃ 최저기온:-8.5℃ 평균운량:0.0 일강수량: -	평균기온:3.0℃ 최고기온:8.4℃ 최저기온:-3.6℃ 평균운량:3.8 일강수량: -	평균기온:5.4℃ 최고기온:9.3℃ 최저기온:1.0℃ 평균운량:8.0 일강수량:1.1mm
27일	28일					
평균기온:3.7℃ 최고기온:9.1℃ 최저기온:-1.6℃ 평균운량:0.0 일강수량: -	평균기온:6.8℃ 최고기온:11.5℃ 최저기온:2.7℃ 평균운량:8.0 일강수량: -					
		1일	2일	3일	4일	5일
		평균기온:5.8℃ 최고기온:9.7℃ 최저기온:0.3℃ 평균운량:6.1 일강수량:2.3mm	평균기온:3.5℃ 최고기온:8.8℃ 최저기온:-2.3℃ 평균운량:1.0 일강수량: -	평균기온:5.8℃ 최고기온:12.4℃ 최저기온:0.9℃ 평균운량:0.0 일강수량: -	평균기온:6.9℃ 최고기온:14.6℃ 최저기온:0.6℃ 평균운량:5.1 일강수량: -	평균기온:2.3℃ 최고기온:6.7℃ 최저기온:-0.7℃ 평균운량:0.1 일강수량: -
6일	7일	8일	9일	10일	11일	12일
평균기온:1.4℃ 최고기온:6.8℃ 최저기온:-3.0℃ 평균운량:1.3 일강수량: -	평균기온:2.8℃ 최고기온:8.7℃ 최저기온:-2.7℃ 평균운량:6.1 일강수량: -	평균기온:6.0℃ 최고기온:12.3℃ 최저기온:1.1℃ 평균운량:4.9 일강수량: -	평균기온:7.1℃ 최고기온:14.8℃ 최저기온:1.7℃ 평균운량:2.3 일강수량: -	평균기온:9.3℃ 최고기온:15.8℃ 최저기온:4.2℃ 평균운량:6.6 일강수량: -	평균기온:11.2℃ 최고기온:18.4℃ 최저기온:5.1℃ 평균운량:5.3 일강수량: -	평균기온:12.8℃ 최고기온:19.5℃ 최저기온:6.3℃ 평균운량:5.8 일강수량:2.6mm
13일	14일	15일	16일	17일	18일	19일
평균기온:11.7℃ 최고기온:12.6℃ 최저기온:10.7℃ 평균운량:9.4 일강수량:42.1mm	평균기온:8.2℃ 최고기온:13.2℃ 최저기온:4.9℃ 평균운량:6.4 일강수량:8.7mm	평균기온:7.2℃ 최고기온:13.3℃ 최저기온:2.3℃ 평균운량:3.8 일강수량: -	평균기온:10.3℃ 최고기온:16.8℃ 최저기온:3.6℃ 평균운량:3.8 일강수량: -	평균기온:10.7℃ 최고기온:15.1℃ 최저기온:7.8℃ 평균운량:10.0 일강수량:1.2mm	평균기온:7.5℃ 최고기온:9.6℃ 최저기온:5.5℃ 평균운량:9.1 일강수량:0.0mm	평균기온:3.4℃ 최고기온:6.1℃ 최저기온:0.9℃ 평균운량:8.9 일강수량:14.6mm
20일	21일	22일	23일	24일	25일	26일
평균기온:5.4℃ 최고기온:9.3℃ 최저기온:2.2℃ 평균운량:5.1 일강수량:0.0mm	평균기온:5.0℃ 최고기온:10.9℃ 최저기온:-0.3℃ 평균운량:7.5 일강수량: -	평균기온:7.1℃ 최고기온:13.6℃ 최저기온:1.1℃ 평균운량:2.5 일강수량: -	평균기온:6.2℃ 최고기온:8.2℃ 최저기온:4.9℃ 평균운량:9.0 일강수량: -	평균기온:8.2℃ 최고기온:12.4℃ 최저기온:3.9℃ 평균운량:8.4 일강수량: -	평균기온:12.0℃ 최고기온:17.2℃ 최저기온:6.3℃ 평균운량:7.9 일강수량:10.9mm	평균기온:11.8℃ 최고기온:14.7℃ 최저기온:9.5℃ 평균운량:8.3 일강수량:19.8mm
27일	28일	29일	30일	31일		
평균기온:8.1℃ 최고기온:12.6℃ 최저기온:5.0℃ 평균운량:0.3 일강수량: -	평균기온:8.2℃ 최고기온:15.1℃ 최저기온:1.5℃ 평균운량:0.5 일강수량: -	평균기온:9.7℃ 최고기온:15.6℃ 최저기온:3.3℃ 평균운량:1.4 일강수량: -	평균기온:10.8℃ 최고기온:15.7℃ 최저기온:5.9℃ 평균운량:7.0 일강수량:0.4mm	평균기온:10.9℃ 최고기온:14.7℃ 최저기온:7.6℃ 평균운량:7.0 일강수량: -		
					1일	2일
					평균기온:9.2℃ 최고기온:14.9℃ 최저기온:4.5℃ 평균운량:1.1 일강수량: -	평균기온:8.2℃ 최고기온:14.2℃ 최저기온:3.7℃ 평균운량:0.5 일강수량: -
3일	4일	5일	6일	7일	8일	9일
평균기온:9.6℃ 최고기온:17.0℃ 최저기온:3.5℃ 평균운량:0.0 일강수량: -	평균기온:10.3℃ 최고기온:16.4℃ 최저기온:5.1℃ 평균운량:0.0 일강수량: -	평균기온:10.3℃ 최고기온:15.8℃ 최저기온:4.9℃ 평균운량:6.1 일강수량: -	평균기온:11.7℃ 최고기온:17.0℃ 최저기온:8.0℃ 평균운량:6.4 일강수량: -	평균기온:10.9℃ 최고기온:15.7℃ 최저기온:7.4℃ 평균운량:2.4 일강수량: -	평균기온:12.9℃ 최고기온:20.0℃ 최저기온:5.1℃ 평균운량:0.0 일강수량: -	평균기온:17.8℃ 최고기온:24.2℃ 최저기온:12.4℃ 평균운량:2.4 일강수량:0.5mm
10일	11일	12일	13일	14일	15일	16일
평균기온:18.2℃ 최고기온:25.1℃ 최저기온:12.7℃ 평균운량:1.5 일강수량: -	평균기온:19.6℃ 최고기온:26.6℃ 최저기온:13.4℃ 평균운량:2.8 일강수량: -	평균기온:19.3℃ 최고기온:26.4℃ 최저기온:15.9℃ 평균운량:8.6 일강수량:0.5mm	평균기온:13.1℃ 최고기온:15.9℃ 최저기온:12.0℃ 평균운량:10.0 일강수량:1.3mm	평균기온:13.2℃ 최고기온:15.3℃ 최저기온:11.4℃ 평균운량:9.3 일강수량: -	평균기온:13.3℃ 최고기온:19.3℃ 최저기온:7.5℃ 평균운량:1.0 일강수량: -	평균기온:13.2℃ 최고기온:20.2℃ 최저기온:7.1℃ 평균운량:0.3 일강수량: -
17일	18일	19일	20일	21일	22일	23일
평균기온:14.0℃ 최고기온:21.9℃ 최저기온:7.2℃ 평균운량:2.6 일강수량: -	평균기온:15.2℃ 최고기온:21.6℃ 최저기온:11.4℃ 평균운량:4.8 일강수량: -	평균기온:15.2℃ 최고기온:22.1℃ 최저기온:8.9℃ 평균운량:0.0 일강수량: -	평균기온:15.7℃ 최고기온:22.1℃ 최저기온:9.7℃ 평균운량:0.0 일강수량: -	평균기온:16.3℃ 최고기온:22.7℃ 최저기온:9.6℃ 평균운량:5.3 일강수량: -	평균기온:15.0℃ 최고기온:16.8℃ 최저기온:13.2℃ 평균운량:8.5 일강수량: -	평균기온:17.7℃ 최고기온:25.3℃ 최저기온:10.4℃ 평균운량:6.0 일강수량: -
24일	25일	26일	27일	28일	29일	30일
평균기온:18.5℃ 최고기온:24.5℃ 최저기온:15.0℃ 평균운량:6.4 일강수량:0.3mm	평균기온:20.0℃ 최고기온:23.6℃ 최저기온:17.0℃ 평균운량:10.0 일강수량:1.3mm	평균기온:21.9℃ 최고기온:28.7℃ 최저기온:17.0℃ 평균운량:5.0 일강수량:1.0mm	평균기온:17.7℃ 최고기온:23.9℃ 최저기온:12.6℃ 평균운량:0.4 일강수량: -	평균기온:18.2℃ 최고기온:25.9℃ 최저기온:11.6℃ 평균운량:5.8 일강수량:0.0mm	평균기온:13.4℃ 최고기온:16.5℃ 최저기온:10.7℃ 평균운량:8.8 일강수량:15.5mm	평균기온:13.0℃ 최고기온:17.8℃ 최저기온:10.5℃ 평균운량:8.0 일강수량: -
1일	2일	3일	4일	5일	6일	7일
